character_id;character_label;character_description;character_name;character_sex;character_DoB;character_DoD
Q2071982;Rose Tyler;character from the TV series "Doctor Who";Rose Tyler;female;+1987-04-27T00:00:00Z;
Q1101459;Jonathan Archer;fictional character from Star Trek: Enterprise;Jonathan Archer;male;;
Q11899640;Urho Hietanen;fictional human;Urho Hietanen;male;;
Q28720092;Father Arnall;character in James Joyce's Portrait of the Artist;Father Arnall;;;
Q30251052;Hans Sepp;character from Musil's The Man Without Qualities;Hans Sepp;male;;
Q34451780;Gottlieb Hagauer;character from Musil's The Man Without Qualities;Gottlieb Hagauer;male;;
Q2250982;George Wickham;Pride and Prejudice character;George Wickham;male;;
Q21483134;Henry 'Hank' Rearden;Atlas Shrugged character;Henry 'Hank' Rearden;male;;
Q3561615;;;;female;;
Q3304898;Melanie Hamilton;;Melanie Hamilton;female;;
Q7288955;Ramandu's Daughter;;Ramandu's Daughter;female;;
Q28878209;Lotte Körner;character from Erich Kästner's Lottie and Lisa;Lotte Körner;female;;
Q4527924;Shura Balaganov;fictional character in Ilf and Petrov's novel The Little Golden Calf;Shura Balaganov;male;;
Q60702;Eragon;fictional human;Eragon;male;;
Q8045205;Xue Baochai;principal character in the classic Chinese novel Dream of the Red Chamber;Xue Baochai;female;;
Q20931979;De Witte van Zichem;fictional character, mischievous Flemish boy;De Witte van Zichem;male;;
Q532392;John Shade;character from Vladimir Nabokov's Pale Fire;John Shade;male;;
Q1412447;Amanda Grayson;fictional human;Amanda Grayson;female;;
Q4008842;Varys;character in A Song of Ice and Fire;Varys;male;;
Q2629231;Dale Cooper;fictional character in the television series Twin Peaks;Dale Bartholomew Cooper;male;+1954-04-19T00:00:00Z;
Q606202;Hikaru Sulu;fictional character from Star Trek;Hikaru Sulu;male;;
Q10454539;Claes Waltin;;Claes Waltin;male;+1944-04-20T00:00:00Z;
Q28741269;Robert Leary, Jr.;fictional character in Elmore Leonard's Unknown Man No. 89 and The Switch;Robert Leary, Jr.;;;
Q1779543;Felix Leiter;;Felix Leiter;male;;
Q1638892;Hushang;mythological Iranian king;Hushang;male;;
Q48853;Angelica;princess in the epic poem Orlando innamorato by Matteo Maria Boiardo. She reappears in the saga's continuation, Orlando furioso by Ludovico Ariosto;Angelica;female;;
Q3275368;Madame de la Tour;character in the novel Paul et Virginie;Madame de la Tour;female;;
Q779920;Slartibartfast;fictional character;Slartibartfast;male;;
Q5525918;Gary Seven;fictional character;Gary Seven;male;;
Q21198293;Ariane de Saynes;;Ariane de Saynes;female;;
Q9354848;Tadeusz Soplica;fictional character;Tadeusz Soplica;male;;
Q11703515;Samwell Tarly;character in A Song of Ice and Fire;Samwell Tarly;male;;
Q21072307;Lord de Winter;fictional character;Lord de Winter;male;;
Q2346693;Dirk Pitt;fictional adventurer;Dirk Pitt;male;;
Q21483127;Dagny Taggart;Atlas Shrugged character;Dagny Taggart;female;;
Q3106613;Gillian Taylor;;Gillian Taylor;;;
Q173998;Ron Weasley;fictional character of Harry Potter series;Ron Weasley;male;+1980-03-01T00:00:00Z;
Q3271215;Inspector Gregson;;Inspector Gregson;male;;
Q3092452;Félix Grandet;Honoré de Balzac character;Félix Grandet;male;;
Q7994952;White Knight;fictional character in "Through the Looking-Glass" by Lewis Carroll;White Knight;;;
Q637202;Zaphod Beeblebrox;fictional character in The Hitchhiker's Guide to the Galaxy;Zaphod Beeblebrox;male;;
Q1918366;John Clark;fictional character created by Tom Clancy;John Terrence Kelly;male;+1944-01-01T00:00:00Z;
Q4118056;Dr. Livesey;character from Stevenson's Treasure Island;Dr. Livesey;male;;
Q19817013;Mrs. Bennet;Pride and Prejudice character;Mrs. Bennet;female;;
Q2820864;Abbé Faria;fictional character;Abbé Faria;male;;
Q3461343;Sagamore Noonan;;Sagamore Noonan;male;;
Q3924999;Psmith;fictional character by P.G. Wodehouse;Psmith;male;;
Q16739979;Garrett Deasy;character in James Joyce's Ulysses;Garrett Deasy;male;;
Q28878138;Luise Palfy;character from Erich Kästner's Lottie and Lisa;Luise Palfy;female;;
Q8428650;Jia Baoyu;principal character in the classic Chinese novel Dream of the Red Chamber;Jia Baoyu;male;;
Q3419235;Raoul Nathan;Honoré de Balzac character;Raoul Nathan;male;;
Q51740;Obi-Wan Kenobi;fictional character in the Star Wars universe;Obi-Wan Kenobi;male;;
Q994344;Ezio Auditore da Firenze;Assassin's Creed character;Ezio Auditore da Firenze;male;+1459-06-24T00:00:00Z;+1524-11-30T00:00:00Z
Q20252385;Mäkilä;fictional character;Mäkilä;male;;
Q543671;Stephen Dedalus;character in James Joyce's autobiographical novels;Stephen Dedalus;male;+1882-02-02T00:00:00Z;
Q6741449;Keiko O'Brien;;Keiko O'Brien;female;;
Q19799441;Asha Greyjoy;character in A Song of Ice and Fire;Asha Greyjoy;female;;
Q3073552;Fleur-de-Lys;character from Victor Hugo's The Hunchback of Notre Dame;Fleur-de-Lys;female;;
Q17428688;Letitia Ketterley;fictional character created by C.S. Lewis in the Chronicles of Narnia;Letitia Ketterley;female;;
Q2091177;Lyra Belacqua;fictional human created by Philip Pullman;Lyra Belacqua;female;;
Q19755890;Owen Paris;fictional character in the Star Trek universe;Owen Paris;male;;
Q55191;Katherine Pulaski;fictional character, chief medical officer in Star Trek: The Next Generation;Katherine Pulaski;female;;
Q28719905;John "Jack" Lawton;character in James Joyce's Portrait of the Artist;John "Jack" Lawton;;;
Q2696235;Domino Vitali;;Domino Vitali;female;;
Q1423956;Doctor Griffin;fictional scientist from H.G. Wells' novella The Invisible Man;Doctor Griffin;male;;
Q1610690;Eugène de Rastignac;Honoré de Balzac character;Eugène de Rastignac;male;;
Q2492223;John Galt;Atlas Shrugged character;John Galt;male;;
Q3275355;Madame de Mortsauf;Honoré de Balzac character;Madame de Mortsauf;;;
Q2914803;Ostap Bender;fictional conman from Ilf and Petrov's novels;Ostap Bender;male;;
Q3901558;Philo Vance;;Philo Vance;male;;
Q4075196;Yevgeni Bazarov;The character of the novel "Fathers and Sons";Yevgeni Bazarov;male;;
Q18516409;Chiara Brunetti;;Chiara Brunetti;female;;
Q2392421;Constance Bonacieux;;Constance Bonacieux;female;;
Q924817;Auric Goldfinger;fictional character in James Bond series;Auric Goldfinger;male;+1912-11-09T00:00:00Z;
Q2940250;Carrie White;a title character and the protagonist of Stephen King's novel Carrie;Carrie White;female;+1963-09-21T00:00:00Z;+1979-00-00T00:00:00Z
Q2631797;Malcolm Reed;fictional character from Star Trek: Enterprise;Malcolm Reed;male;;
Q30243402;Walter;character from Musil's The Man Without Qualities;Walter;male;+1870-00-00T00:00:00Z;
Q21197544;Mario;;Mario;male;;
Q1079146;Noonien Soong;fictional character in Star Trek;Noonien Soong;male;;
Q27703691;Jehan Frollo;character from Victor Hugo's The Hunchback of Notre Dame;Jehan Frollo;male;+1466-00-00T00:00:00Z;+1482-00-00T00:00:00Z
Q16910929;Corny Kelleher (Ulysses character);character in James Joyce's Ulysses;Corny Kelleher (Ulysses character);male;;
Q988925;Ellen Ripley;fictional character;Ellen Ripley;female;+2092-01-07T00:00:00Z;
Q5771156;Clara del Valle;;Clara del Valle;female;;
Q3294812;Marquise de Listomère;Honoré de Balzac character;Marquise de Listomère;;;
Q2991070;Comtesse de Montcornet;Honoré de Balzac character;Comtesse de Montcornet;;;
Q11897657;Timo Harjunpää;fictional human created by Matti Yrjänä Joensuu;Timo Juhani Harjunpää;male;;
Q549047;C. Auguste Dupin;fictional French crime-solver created by Edgar Allan Poe;Auguste Dupin;male;+1850-00-00T00:00:00Z;+1890-00-00T00:00:00Z
Q738817;Travis Mayweather;fictional character from Star Trek: Enterprise;Travis Mayweather;male;;
Q835154;Michael Corleone;fictional human;Michael Corleone;male;+1920-10-15T00:00:00Z;+1997-05-09T00:00:00Z
Q384546;Gurney Halleck;Fictional character from Dune;Gurney Halleck;male;;
Q6967705;Nastasya Filipovna;;Nastasya Filipovna;female;;
Q582234;Edmund Pevensie;fictional English boy, a lead character in the first three Narnia books;Edmund Pevensie;male;;
Q16991095;Thérèse Raquin;;Thérèse Raquin;female;;
Q20730814;Enoch J. Drebber;;Enoch J. Drebber;male;;
Q23753866;Samuel Kirk;character in the Star Trek media franchise;George Samuel Kirk;male;;
Q2435983;Poggin;;Poggin;male;;
Q1501666;General Stumm von Bordwehr;character from Musil's The Man Without Qualities;General Stumm von Bordwehr;male;;
Q3065753;Lady of the Green Kirtle;fictional witch or sorceress, antagonist of The Silver Chair (Narnia, book 4);Lady of the Green Kirtle;female;;
Q21072502;D'Artagnan's father;;D'Artagnan's father;male;;
Q30243528;Paul Arnheim;character from Musil's The Man Without Qualities;Paul Arnheim;male;;
Q681872;Mort;fictional character from Discworld series;Mort;male;;
Q5455556;Fitz Kreiner;;Fitz Kreiner;male;+1963-00-00T00:00:00Z;
Q7794287;Thomas Sutpen;;Thomas Sutpen;male;;
Q29565657;Ivan Petrovich;character from Dostoyevsky's Humiliated and Insulted;Ivan Petrovich;male;;
Q2629101;Johnny Fontane;;Johnny Fontane;male;;
Q28736850;Ernest Stickley, Jr.;fictional character in Elmore Leonard's Swag and Stick;Ernest Stickley, Jr.;;;
Q23893078;;;;male;;
Q10554467;Lars Martin Johansson;;Lars Martin Johansson;male;+1943-00-00T00:00:00Z;
Q9338892;Sopesian;;Sopesian;male;;
Q6679455;Lord John Roxton;fictional character in in the Professor Challenger series of stories by Arthur Conan Doyle;Lord John Roxton;male;;
Q3656777;Chingachgook;;Chingachgook;male;;
Q1749168;Harry Palmer;;Harry Palmer;male;;
Q28736900;Harry Zimm;fictional character in Elmore Leonard's Get Shorty and A Coyote's in the House;Harry Zimm;;;
Q2695156;Batman;fictional character, a comic book superhero created by artist Bob Kane and writer Bill Finger;Batman;male;+1939-05-27T00:00:00Z;
Q29566116;Elena;character from Dostoyevsky's Humiliated and Insulted;Elena;female;;
Q3127322;Harcourt Mudd;fictional Character;Harcourt Mudd;male;;
Q1471214;Lord Emsworth;fictional human by P. G. Wodehouse;Lord Emsworth;male;;
Q28777192;Narcissa Raincrow;fictional character in Elmore Leonard's The Hot Kid and Up in Honey's Room;Narcissa Raincrow;;;
